window_sec,n_matches_paired,strat_min_roi_pct_mean,ctrl_min_roi_pct_mean,roi_diff_ci_lo,roi_diff_ci_hi,roi_p_strat_gt_ctrl,strat_hit_rate_le_099,ctrl_hit_rate_le_099,hit_rate_diff_ci_lo,hit_rate_diff_ci_hi,hit_rate_p_strat_gt_ctrl
60,33,0.3852838332911169,33.109505696908414,-55.455500851589875,-2.786385852944653,1.0,0.18181818181818182,0.9090909090909091,-0.85,-0.611111111111111,1.0
120,35,1.1355031029189433,34.314884781145544,-54.75619222392442,-5.197857937906846,1.0,0.42857142857142855,0.9714285714285714,-0.6842105263157894,-0.3999999999999999,1.0
180,35,1.4512244804476506,35.855031122377774,-55.90137733994545,-6.446326632395741,1.0,0.5714285714285714,1.0,-0.55,-0.30000000000000004,1.0
300,35,22.41507966974675,153.98399841750793,-256.0422409639452,23.052498835620604,0.7741,0.8571428571428571,1.0,-0.2272727272727273,-0.045454545454545414,1.0
480,35,24.640201431481398,162.81926259360478,-264.3980199887118,17.912930747426334,0.7741,0.9714285714285714,1.0,-0.052631578947368474,0.0,1.0
