strategy,window_sec,date,title,score,final_margin,winner,question,outcome,loss_requires_goals,line,required_margin,final_total,team,team_goals,loser,spread_side,locked,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.95,size_le_0.95,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,page_errors
leader_yes_lead_ge2,60,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,Yes,6,,,,,,,,,10,11441.52,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,10,11441.52,[]
leader_yes_lead_ge2,120,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,Yes,6,,,,,,,,,14,34311.77,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,14,34311.77,[]
leader_yes_lead_ge2,180,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,Yes,6,,,,,,,,,19,34426.08,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,19,34426.08,[]
leader_yes_lead_ge2,300,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,Yes,6,,,,,,,,,35,37529.46,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,35,37529.46,[]
leader_yes_lead_ge2,480,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,Yes,6,,,,,,,,,53,44443.15,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,53,44443.15,[]
team_total_over_locked,60,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Japan O/U 1.5,Over,999,1.5,,,Japan,2,,,True,1,3.44,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,1,3.44,1,3.44,1,3.44,[]
team_total_over_locked,120,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Japan O/U 1.5,Over,999,1.5,,,Japan,2,,,True,2,114.69,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,2,114.69,2,114.69,2,114.69,[]
team_total_over_locked,180,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Japan O/U 1.5,Over,999,1.5,,,Japan,2,,,True,3,2814.4,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,3,2814.4,3,2814.4,3,2814.4,[]
team_total_over_locked,300,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Japan O/U 1.5,Over,999,1.5,,,Japan,2,,,True,9,4649.7,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,9,4649.7,9,4649.7,9,4649.7,[]
team_total_over_locked,480,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Japan O/U 1.5,Over,999,1.5,,,Japan,2,,,True,25,6016.52,0.98,0.99,1.9808,0.9801,0,0,0,0,1,34.48,25,6016.52,25,6016.52,25,6016.52,[]
spread_tight_loss_ge2,60,2026-06-14,Netherlands vs. Japan,2-2,0,,Spread: Netherlands (-1.5),Japan,2,1.5,2,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
spread_tight_loss_ge2,120,2026-06-14,Netherlands vs. Japan,2-2,0,,Spread: Netherlands (-1.5),Japan,2,1.5,2,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
spread_tight_loss_ge2,180,2026-06-14,Netherlands vs. Japan,2-2,0,,Spread: Netherlands (-1.5),Japan,2,1.5,2,,,,,other_side,,1,2.63,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,1,2.63,1,2.63,1,2.63,[]
spread_tight_loss_ge2,300,2026-06-14,Netherlands vs. Japan,2-2,0,,Spread: Netherlands (-1.5),Japan,2,1.5,2,,,,,other_side,,3,409.62,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,3,409.62,3,409.62,3,409.62,[]
spread_tight_loss_ge2,480,2026-06-14,Netherlands vs. Japan,2-2,0,,Spread: Netherlands (-1.5),Japan,2,1.5,2,,,,,other_side,,36,32021.46,0.96,0.99,4.0467,0.9801,0,0,4,104.38,18,341.83,36,32021.46,36,32021.46,36,32021.46,[]
spread_tight_loss_ge2,60,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Spread: Côte d'Ivoire (-2.5),Ecuador,2,2.5,3,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
spread_tight_loss_ge2,120,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Spread: Côte d'Ivoire (-2.5),Ecuador,2,2.5,3,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
spread_tight_loss_ge2,180,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Spread: Côte d'Ivoire (-2.5),Ecuador,2,2.5,3,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
spread_tight_loss_ge2,300,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Spread: Côte d'Ivoire (-2.5),Ecuador,2,2.5,3,,,,,other_side,,9,1886.734145,0.9590000069112218,0.999,4.1523,0.0971,0,0,2,161.734145,3,181.734145,4,201.734145,8,1866.734145,9,1886.734145,[]
spread_tight_loss_ge2,480,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Spread: Côte d'Ivoire (-2.5),Ecuador,2,2.5,3,,,,,other_side,,9,1886.734145,0.9590000069112218,0.999,4.1523,0.0971,0,0,2,161.734145,3,181.734145,4,201.734145,8,1866.734145,9,1886.734145,[]
total_over_locked,60,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: O/U 3.5,Over,999,3.5,,4,,,,,True,3,361.93,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,3,361.93,3,361.93,3,361.93,[]
total_over_locked,120,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: O/U 3.5,Over,999,3.5,,4,,,,,True,6,700.29,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,6,700.29,6,700.29,6,700.29,[]
total_over_locked,180,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: O/U 3.5,Over,999,3.5,,4,,,,,True,9,765.44,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,9,765.44,9,765.44,9,765.44,[]
total_over_locked,300,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: O/U 3.5,Over,999,3.5,,4,,,,,True,24,2199.4,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,24,2199.4,24,2199.4,24,2199.4,[]
total_over_locked,480,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: O/U 3.5,Over,999,3.5,,4,,,,,True,99,23660.35,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,99,23660.35,99,23660.35,99,23660.35,[]
btts_yes_locked,60,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Germany vs. Curaçao: Both Teams to Score,Yes,999,,,,,,,,True,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
btts_yes_locked,120,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Germany vs. Curaçao: Both Teams to Score,Yes,999,,,,,,,,True,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
btts_yes_locked,180,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Germany vs. Curaçao: Both Teams to Score,Yes,999,,,,,,,,True,1,64.51,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,64.51,[]
btts_yes_locked,300,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Germany vs. Curaçao: Both Teams to Score,Yes,999,,,,,,,,True,4,203.91,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,4,203.91,[]
btts_yes_locked,480,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Germany vs. Curaçao: Both Teams to Score,Yes,999,,,,,,,,True,4,203.91,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,4,203.91,[]
team_total_under_loss_ge2,60,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Ecuador O/U 1.5,Under,2,1.5,,,Ecuador,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_under_loss_ge2,120,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Ecuador O/U 1.5,Under,2,1.5,,,Ecuador,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_under_loss_ge2,180,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Ecuador O/U 1.5,Under,2,1.5,,,Ecuador,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_under_loss_ge2,300,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Ecuador O/U 1.5,Under,2,1.5,,,Ecuador,0,,,,1,28.0,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,28.0,[]
team_total_under_loss_ge2,480,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Ecuador O/U 1.5,Under,2,1.5,,,Ecuador,0,,,,1,28.0,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,28.0,[]
loser_no,60,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Will Ecuador win on 2026-06-14?,No,2,,,,,,Ecuador,,,16,18518.62,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,16,18518.62,[]
loser_no,120,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Will Ecuador win on 2026-06-14?,No,2,,,,,,Ecuador,,,21,19302.321,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,1,400.0,2,409.5,21,19302.321,[]
loser_no,180,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Will Ecuador win on 2026-06-14?,No,2,,,,,,Ecuador,,,22,19602.321,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,2,700.0,3,709.5,22,19602.321,[]
loser_no,300,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Will Ecuador win on 2026-06-14?,No,2,,,,,,Ecuador,,,26,20999.401,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,6,2097.08,7,2106.58,26,20999.401,[]
loser_no,480,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Will Ecuador win on 2026-06-14?,No,2,,,,,,Ecuador,,,43,23531.221,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,23,4628.9,24,4638.4,43,23531.221,[]
btts_yes_locked,60,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Both Teams to Score,Yes,999,,,,,,,,True,4,69.14,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,4,69.14,[]
btts_yes_locked,120,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Both Teams to Score,Yes,999,,,,,,,,True,8,402.6,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,8,402.6,[]
btts_yes_locked,180,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Both Teams to Score,Yes,999,,,,,,,,True,14,756.31,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,14,756.31,[]
btts_yes_locked,300,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Both Teams to Score,Yes,999,,,,,,,,True,31,2707.26,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,31,2707.26,[]
btts_yes_locked,480,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Both Teams to Score,Yes,999,,,,,,,,True,56,5787.74,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,56,5787.74,[]
team_total_over_locked,60,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Côte d'Ivoire O/U 0.5,Over,999,0.5,,,Côte d'Ivoire,1,,,True,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_over_locked,120,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Côte d'Ivoire O/U 0.5,Over,999,0.5,,,Côte d'Ivoire,1,,,True,1,920.28,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,1,920.28,1,920.28,1,920.28,[]
team_total_over_locked,180,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Côte d'Ivoire O/U 0.5,Over,999,0.5,,,Côte d'Ivoire,1,,,True,2,928.47,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,2,928.47,2,928.47,2,928.47,[]
team_total_over_locked,300,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Côte d'Ivoire O/U 0.5,Over,999,0.5,,,Côte d'Ivoire,1,,,True,5,1323.59,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,5,1323.59,5,1323.59,5,1323.59,[]
team_total_over_locked,480,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: Côte d'Ivoire O/U 0.5,Over,999,0.5,,,Côte d'Ivoire,1,,,True,27,7621.33,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,27,7621.33,27,7621.33,27,7621.33,[]
total_over_locked,60,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 0.5,Over,999,0.5,,1,,,,,True,2,869.62,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,869.62,[]
total_over_locked,120,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 0.5,Over,999,0.5,,1,,,,,True,3,871.62,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,1,2.0,1,2.0,3,871.62,[]
total_over_locked,180,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 0.5,Over,999,0.5,,1,,,,,True,4,922.57,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,2,52.95,2,52.95,4,922.57,[]
total_over_locked,300,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 0.5,Over,999,0.5,,1,,,,,True,14,5455.33,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,12,4585.71,12,4585.71,14,5455.33,[]
total_over_locked,480,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 0.5,Over,999,0.5,,1,,,,,True,51,12891.05,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,49,12021.43,49,12021.43,51,12891.05,[]
total_under_loss_ge2,60,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 2.5,Under,2,2.5,,1,,,,,,2,73.05,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,73.05,[]
total_under_loss_ge2,120,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 2.5,Under,2,2.5,,1,,,,,,3,144.47,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,144.47,[]
total_under_loss_ge2,180,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 2.5,Under,2,2.5,,1,,,,,,3,144.47,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,144.47,[]
total_under_loss_ge2,300,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 2.5,Under,2,2.5,,1,,,,,,8,675.9,0.994,0.999,0.5856,0.0971,0,0,0,0,0,0,0,0,1,17.24,8,675.9,[]
total_under_loss_ge2,480,2026-06-14,Côte d'Ivoire vs. Ecuador,1-0,1,Côte d'Ivoire,Côte d'Ivoire vs. Ecuador: O/U 2.5,Under,2,2.5,,1,,,,,,17,2269.21,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,1,90.95,10,1610.55,17,2269.21,[]
team_total_under_loss_ge2,60,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 2.5,Under,2,2.5,,,Tunisia,1,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_under_loss_ge2,120,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 2.5,Under,2,2.5,,,Tunisia,1,,,,1,4.45,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,4.45,[]
team_total_under_loss_ge2,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 2.5,Under,2,2.5,,,Tunisia,1,,,,1,4.45,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,4.45,[]
team_total_under_loss_ge2,300,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 2.5,Under,2,2.5,,,Tunisia,1,,,,1,4.45,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,4.45,[]
team_total_under_loss_ge2,480,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 2.5,Under,2,2.5,,,Tunisia,1,,,,3,7072.45,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,7072.45,[]
team_total_over_locked,60,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 0.5,Over,999,0.5,,,Tunisia,1,,,True,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_over_locked,120,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 0.5,Over,999,0.5,,,Tunisia,1,,,True,2,155.11,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,155.11,[]
team_total_over_locked,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 0.5,Over,999,0.5,,,Tunisia,1,,,True,2,155.11,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,155.11,[]
team_total_over_locked,300,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 0.5,Over,999,0.5,,,Tunisia,1,,,True,2,155.11,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,155.11,[]
team_total_over_locked,480,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 0.5,Over,999,0.5,,,Tunisia,1,,,True,2,155.11,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,155.11,[]
draw_no_lead_ge2,60,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden vs. Tunisia end in a draw?,No,4,,,,,,,,,4,295.78,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,4,295.78,[]
draw_no_lead_ge2,120,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden vs. Tunisia end in a draw?,No,4,,,,,,,,,6,308.27,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,6,308.27,[]
draw_no_lead_ge2,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden vs. Tunisia end in a draw?,No,4,,,,,,,,,6,308.27,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,6,308.27,[]
draw_no_lead_ge2,300,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden vs. Tunisia end in a draw?,No,4,,,,,,,,,6,308.27,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,6,308.27,[]
draw_no_lead_ge2,480,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden vs. Tunisia end in a draw?,No,4,,,,,,,,,8,1322.15,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,8,1322.15,[]
loser_no,60,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Tunisia win on 2026-06-14?,No,5,,,,,,Tunisia,,,1,1.07,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,1.07,[]
loser_no,120,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Tunisia win on 2026-06-14?,No,5,,,,,,Tunisia,,,2,7.39,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,7.39,[]
loser_no,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Tunisia win on 2026-06-14?,No,5,,,,,,Tunisia,,,3,1007.39,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,1007.39,[]
loser_no,300,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Tunisia win on 2026-06-14?,No,5,,,,,,Tunisia,,,4,1977.07,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,4,1977.07,[]
loser_no,480,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Tunisia win on 2026-06-14?,No,5,,,,,,Tunisia,,,7,2814.52,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,7,2814.52,[]
leader_yes_lead_ge2,60,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,Yes,4,,,,,,,,,32,36406.43,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,32,36406.43,[]
leader_yes_lead_ge2,120,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,Yes,4,,,,,,,,,62,41485.03,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,62,41485.03,[]
leader_yes_lead_ge2,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,Yes,4,,,,,,,,,95,56665.18,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,95,56665.18,[]
leader_yes_lead_ge2,300,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,Yes,4,,,,,,,,,151,64677.92,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,151,64677.92,[]
leader_yes_lead_ge2,480,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,Yes,4,,,,,,,,,246,98261.31,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,246,98261.31,[]
total_over_locked,60,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: O/U 5.5,Over,999,5.5,,6,,,,,True,18,2634.0,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,18,2634.0,[]
total_over_locked,120,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: O/U 5.5,Over,999,5.5,,6,,,,,True,115,33325.957004,0.5,0.999,98.5,0.0971,10,1065.815269,36,6659.427642,43,7168.385742,82,20865.647004,82,20865.647004,115,33325.957004,[]
total_over_locked,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: O/U 5.5,Over,999,5.5,,6,,,,,True,168,39124.358963,0.05799995309564932,0.999,1621.3133,0.0971,63,6864.217228,89,12457.829601,96,12966.787701,135,26664.048963,135,26664.048963,168,39124.358963,[]
total_over_locked,300,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: O/U 5.5,Over,999,5.5,,6,,,,,True,318,53975.769828,0.05799995309564932,0.999,1621.3133,0.0971,213,21715.628093,239,27309.240466,246,27818.198566,285,41515.459828,285,41515.459828,318,53975.769828,[]
total_over_locked,480,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: O/U 5.5,Over,999,5.5,,6,,,,,True,539,80692.087572,0.05799995309564932,0.999,1621.3133,0.0971,434,48431.945837,460,54025.55821,467,54534.51631,506,68231.777572,506,68231.777572,539,80692.087572,[]
spread_tight_loss_ge2,60,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Spread: Sweden (-2.5),Sweden,2,-2.5,3,,,,,favorite_cover,,4,1060.7,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,4,1060.7,4,1060.7,4,1060.7,[]
spread_tight_loss_ge2,120,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Spread: Sweden (-2.5),Sweden,2,-2.5,3,,,,,favorite_cover,,43,4152.66,0.97,0.99,3.0028,0.9801,0,0,12,537.0,12,537.0,43,4152.66,43,4152.66,43,4152.66,[]
spread_tight_loss_ge2,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Spread: Sweden (-2.5),Sweden,2,-2.5,3,,,,,favorite_cover,,108,6409.427149,0.96,0.99,4.0467,0.9801,0,0,72,2085.974633,75,2382.134633,108,6409.427149,108,6409.427149,108,6409.427149,[]
spread_tight_loss_ge2,300,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Spread: Sweden (-2.5),Sweden,2,-2.5,3,,,,,favorite_cover,,215,11029.087917,0.85,0.99,17.1971,0.9801,107,4619.660768,179,6705.635401,182,7001.795401,215,11029.087917,215,11029.087917,215,11029.087917,[]
spread_tight_loss_ge2,480,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Spread: Sweden (-2.5),Sweden,2,-2.5,3,,,,,favorite_cover,,303,23715.603946,0.84,0.99,18.5676,0.9801,194,16785.343472,267,19392.15143,270,19688.31143,303,23715.603946,303,23715.603946,303,23715.603946,[]
spread_tight_loss_ge2,60,2026-06-15,Spain vs. Cabo Verde,0-0,0,,Spread: Spain (-1.5),Cabo Verde,2,1.5,2,,,,,other_side,,3,410.2,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,3,410.2,3,410.2,3,410.2,[]
spread_tight_loss_ge2,120,2026-06-15,Spain vs. Cabo Verde,0-0,0,,Spread: Spain (-1.5),Cabo Verde,2,1.5,2,,,,,other_side,,6,468.63,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,6,468.63,6,468.63,6,468.63,[]
